SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-06 15:03:34.949447,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-37,0.2921,34.87905502319336,32.857269287109375,1012.109375,356.94428905166535,358.2012412941034,168.85682458564733
1,DC:A6:32:33:E9:E9,2020-07-06 15:03:35.039700,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.823516845703125,30.599008560180664,1012.0966796875,356.943658753271,358.20312856074844,168.86605900140518
2,DC:A6:32:33:E9:E9,2020-07-06 15:03:37.044410,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.86054229736328,33.73472595214844,1012.08642578125,356.9373282351275,358.20043341079065,168.89212300327796
3,DC:A6:32:33:E9:E9,2020-07-06 15:03:38.281895,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.93458938598633,34.34690475463867,1012.08642578125,356.93780122572747,358.20003277750715,168.91214911792443
4,DC:A6:32:33:E9:E9,2020-07-06 15:03:39.108167,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.8420295715332,32.81985855102539,1012.09912109375,356.9320497795595,358.1969602595977,168.92654715669482
5,DC:A6:32:33:E9:E9,2020-07-06 15:03:40.068159,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.8420295715332,32.81645584106445,1012.10205078125,356.9250183132524,358.19691180794325,168.93071357208854
6,DC:A6:32:33:E9:E9,2020-07-06 15:03:41.715687,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.8420295715332,34.09523010253906,1012.100341796875,356.93208926659065,358.1949058667614,168.9194710807147
7,DC:A6:32:33:E9:E9,2020-07-06 15:03:42.268793,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.953102111816406,33.71091842651367,1012.093994140625,356.9297605989705,358.19412210255416,168.90601560804976
8,DC:A6:32:33:E9:E9,2020-07-06 15:03:43.183190,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.86054229736328,33.833351135253906,1012.1005859375,356.92166874579476,358.19361624166874,168.8886942483146
9,DC:A6:32:33:E9:E9,2020-07-06 15:03:44.543214,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.91607666015625,33.14295196533203,1012.093505859375,356.9125918512746,358.1902201435474,168.88522451221624
10,DC:A6:32:33:E9:E9,2020-07-06 15:03:45.018075,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.8420295715332,34.45573425292969,1012.086669921875,356.9113449148643,358.19184615545663,168.8991307773664
11,DC:A6:32:33:E9:E9,2020-07-06 15:03:46.121966,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.89756774902344,30.803068161010742,1012.08984375,356.9098294666422,358.1964388173432,168.90611123069814
12,DC:A6:32:33:E9:E9,2020-07-06 15:03:47.225718,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.89756774902344,35.03730392456055,1012.0888671875,356.9106309466526,358.1898295421042,168.91911591087785
13,DC:A6:32:33:E9:E9,2020-07-06 15:03:48.013238,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.87905502319336,30.820072174072266,1012.08837890625,356.91212846562814,358.18593057130516,168.92348723194667
14,DC:A6:32:33:E9:E9,2020-07-06 15:03:49.168240,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.80500793457031,32.809654235839844,1012.087158203125,356.9096237071934,358.18234514887774,168.92925191160614
15,DC:A6:32:33:E9:E9,2020-07-06 15:03:50.445766,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.89756774902344,33.125946044921875,1012.089111328125,356.9156998007904,358.1861873437293,168.94217462951582
16,DC:A6:32:33:E9:E9,2020-07-06 15:03:51.078872,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.87905502319336,31.292810440063477,1012.09228515625,356.9135495718623,358.18604390975673,168.94225659178585
17,DC:A6:32:33:E9:E9,2020-07-06 15:03:52.083265,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.93458938598633,30.197690963745117,1012.095458984375,356.91463237028916,358.1889142967554,168.93415598743022
18,DC:A6:32:33:E9:E9,2020-07-06 15:03:53.084531,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.86054229736328,34.476139068603516,1012.1044921875,356.91736423251376,358.1857783861527,168.91579643894121
19,DC:A6:32:33:E9:E9,2020-07-06 15:03:54.105784,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.89756774902344,31.714534759521484,1012.0986328125,356.9216375830567,358.18869338282445,168.89422670154232
20,DC:A6:32:33:E9:E9,2020-07-06 15:03:55.075792,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.87905502319336,33.6599006652832,1012.09765625,356.91821309696155,358.1903761706812,168.8707718319325
21,DC:A6:32:33:E9:E9,2020-07-06 15:03:56.028325,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-32,0.2921,34.823516845703125,31.748544692993164,1012.1103515625,356.9180346582695,358.2952881964977,168.86267122757687
22,DC:A6:32:33:E9:E9,2020-07-06 15:03:57.138929,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-37,0.2921,34.87905502319336,31.52747917175293,1012.11328125,356.9176124672014,358.28597064453106,168.87495190770454
23,DC:A6:32:33:E9:E9,2020-07-06 15:03:58.245181,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.93458938598633,34.79923629760742,1012.112548828125,356.91722720184356,358.27108691527764,168.86467930319284
24,DC:A6:32:33:E9:E9,2020-07-06 15:03:59.093316,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.93458938598633,32.94569396972656,1012.10693359375,356.918864739697,358.2634122372498,168.85323190614392
25,DC:A6:32:33:E9:E9,2020-07-06 15:04:00.813333,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.91607666015625,32.598793029785156,1012.112060546875,356.9154818750672,358.24881025329967,168.83785032013304
26,DC:A6:32:33:E9:E9,2020-07-06 15:04:01.068107,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.953102111816406,34.404720306396484,1012.11767578125,356.9202002551232,358.24328249582703,168.80624020465422
27,DC:A6:32:33:E9:E9,2020-07-06 15:04:02.077102,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.87905502319336,30.177284240722656,1012.1083984375,356.9199323836417,358.23529619041824,168.77391974950172
28,DC:A6:32:33:E9:E9,2020-07-06 15:04:03.118386,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.86054229736328,34.25847625732422,1012.107421875,356.9145271426873,358.2310954106353,168.73549310523123
29,DC:A6:32:33:E9:E9,2020-07-06 15:04:04.034618,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-33,0.2921,34.91607666015625,32.296104431152344,1012.11572265625,356.908471112771,358.2232715356628,168.70722978244572
30,DC:A6:32:33:E9:E9,2020-07-06 15:04:05.178409,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.8420295715332,31.962806701660156,1012.119873046875,356.91207894675665,358.2173139031592,168.69029091330407
31,DC:A6:32:33:E9:E9,2020-07-06 15:04:06.825879,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-34,0.2921,34.93458938598633,33.571475982666016,1012.11669921875,356.91260337721883,358.211694578463,168.67829710112153
32,DC:A6:32:33:E9:E9,2020-07-06 15:04:07.008154,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.93458938598633,29.50048828125,1012.110595703125,356.90852191230294,358.20786188184326,168.66522411905012
33,DC:A6:32:33:E9:E9,2020-07-06 15:04:08.110893,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-31,0.2921,34.953102111816406,33.051124572753906,1012.10693359375,356.90911613876074,358.193376758161,168.6455258534838
34,DC:A6:32:33:E9:E9,2020-07-06 15:04:09.717177,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-35,0.2921,34.971614837646484,31.592098236083984,1012.100341796875,356.90148895189196,358.19068374263725,168.62870992774725
35,DC:A6:32:33:E9:E9,2020-07-06 15:04:10.074654,18e8100c-bfaf-11ea-8739-dca63233e9e8,1,1,1,-38,0.2921,35.008636474609375,29.95281982421875,1012.091064453125,356.9035062055746,358.18833351723254,168.61707128540155
