SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-05 00:52:35.061388,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.28596496582031,33.8027458190918,1011.064208984375,1.6272464659786403,359.3965627653089,159.74779744057318
1,DC:A6:32:33:E9:E9,2020-07-05 00:52:36.737750,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.28596496582031,36.28887176513672,1011.052734375,1.6354750296595073,359.39883748510675,159.74583034609222
2,DC:A6:32:33:E9:E9,2020-07-05 00:52:37.028790,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-58,1.524,36.360015869140625,34.612178802490234,1011.046875,1.633128859679608,359.39676735081883,159.73559872271554
3,DC:A6:32:33:E9:E9,2020-07-05 00:52:38.038946,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-58,1.524,36.360015869140625,34.612178802490234,1011.0517578125,1.6234175046186134,359.3909765777023,159.72252574064413
4,DC:A6:32:33:E9:E9,2020-07-05 00:52:39.457775,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-57,1.524,36.30447769165039,35.0985221862793,1011.052978515625,1.6265208651010323,359.3907155897708,159.60157675082155
5,DC:A6:32:33:E9:E9,2020-07-05 00:52:40.170233,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.32299041748047,33.97279357910156,1011.0478515625,1.61271139653803,359.3947970546867,159.60597539264705
6,DC:A6:32:33:E9:E9,2020-07-05 00:52:41.277773,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.360015869140625,35.57126235961914,1011.05126953125,1.6085454080311454,359.399201566206,159.60843426074825
7,DC:A6:32:33:E9:E9,2020-07-05 00:52:42.196496,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.360015869140625,34.64278793334961,1011.05419921875,1.6054431147657844,359.39488686100213,159.61163078927981
8,DC:A6:32:33:E9:E9,2020-07-05 00:52:43.094013,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.360015869140625,34.64278793334961,1011.05908203125,1.6072572770423634,359.3933367282257,159.61619335564538
9,DC:A6:32:33:E9:E9,2020-07-05 00:52:44.245263,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.28596496582031,34.850250244140625,1011.057373046875,1.6019438167549165,359.3989185402423,159.62478573362125
10,DC:A6:32:33:E9:E9,2020-07-05 00:52:45.159033,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-68,1.524,36.2674560546875,34.982887268066406,1011.054443359375,1.5998059675447025,359.5015796985622,159.63647901748033
11,DC:A6:32:33:E9:E9,2020-07-05 00:52:46.017847,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-57,1.524,36.2674560546875,35.6120719909668,1011.056396484375,1.5973933099421014,359.48264577385265,159.64747562204403
12,DC:A6:32:33:E9:E9,2020-07-05 00:52:47.017833,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.34149932861328,35.35359573364258,1011.062255859375,1.591971740566698,359.4705957193312,159.64041320644225
13,DC:A6:32:33:E9:E9,2020-07-05 00:52:48.031557,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.30447769165039,35.44202423095703,1011.0654296875,1.5894066843682408,359.4636280726041,159.6347304890528
14,DC:A6:32:33:E9:E9,2020-07-05 00:52:49.256587,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-71,1.524,36.32299041748047,33.92177963256836,1011.06396484375,1.5809762032200352,359.44498090911804,159.62280497876196
15,DC:A6:32:33:E9:E9,2020-07-05 00:52:50.081585,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.34149932861328,31.54788589477539,1011.069580078125,1.57595793517078,359.5446666662807,159.61898007282676
16,DC:A6:32:33:E9:E9,2020-07-05 00:52:51.159131,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-69,1.524,36.360015869140625,33.707515716552734,1011.078125,1.5760887759820679,359.5263514072996,159.62025048801237
17,DC:A6:32:33:E9:E9,2020-07-05 00:52:52.050384,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-58,1.524,36.2674560546875,34.530555725097656,1011.0859375,1.575676189867517,359.62045161718595,159.62489501664797
18,DC:A6:32:33:E9:E9,2020-07-05 00:52:53.067933,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-58,1.524,36.28596496582031,33.84695816040039,1011.098388671875,1.5765008284880901,359.58999860512165,159.7493683840823
19,DC:A6:32:33:E9:E9,2020-07-05 00:52:54.337955,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-66,1.524,36.2674560546875,30.044647216796875,1011.09765625,1.5786317407874284,359.55735275548824,159.61727252553425
20,DC:A6:32:33:E9:E9,2020-07-05 00:52:55.245412,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-54,1.524,36.32299041748047,34.04081344604492,1011.100341796875,1.5771621828988178,359.5296780295905,159.5952110145151
21,DC:A6:32:33:E9:E9,2020-07-05 00:52:56.170396,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-68,1.524,36.34149932861328,33.72792053222656,1011.10400390625,1.5723287568439759,359.508757800493,159.57543078667874
22,DC:A6:32:33:E9:E9,2020-07-05 00:52:57.476682,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-57,1.524,36.2674560546875,34.9760856628418,1011.10400390625,1.5712420097140034,359.4920841881511,159.5593115402375
23,DC:A6:32:33:E9:E9,2020-07-05 00:52:58.686711,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.30447769165039,33.10554122924805,1011.10546875,1.5773474517800543,359.466241206931,159.55119727550354
24,DC:A6:32:33:E9:E9,2020-07-05 00:52:59.281693,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.34149932861328,33.94218444824219,1011.095703125,1.5779740149146972,359.453705995535,159.5387253500791
25,DC:A6:32:33:E9:E9,2020-07-05 00:53:00.260449,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.434059143066406,34.098628997802734,1011.1103515625,1.574380161472507,359.194724859002,159.52126738656054
26,DC:A6:32:33:E9:E9,2020-07-05 00:53:01.088017,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-72,1.524,36.360015869140625,33.07493209838867,1011.112548828125,1.5715905628050857,359.198349981904,159.5472904072983
27,DC:A6:32:33:E9:E9,2020-07-05 00:53:02.124205,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.2674560546875,30.956111907958984,1011.111328125,1.5766112854535739,359.2054467085342,159.57465214511336
28,DC:A6:32:33:E9:E9,2020-07-05 00:53:03.574925,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-70,1.524,36.37852478027344,34.030609130859375,1011.108154296875,1.5783175520856076,359.214224835639,159.59149539160663
29,DC:A6:32:33:E9:E9,2020-07-05 00:53:04.009280,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.2674560546875,37.41460037231445,1011.099853515625,1.5829958047802433,359.2182499514943,159.60376241135594
30,DC:A6:32:33:E9:E9,2020-07-05 00:53:05.158066,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.28596496582031,35.496437072753906,1011.102783203125,1.5822588914018225,359.2229715332014,159.61102973263286
31,DC:A6:32:33:E9:E9,2020-07-05 00:53:06.526786,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.30447769165039,34.63938903808594,1011.09716796875,1.5823349839780445,359.2266980417239,159.6139530535976
32,DC:A6:32:33:E9:E9,2020-07-05 00:53:07.120451,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-56,1.524,36.248939514160156,34.81623840332031,1011.091796875,1.5829872670437808,359.2272781809165,159.6074916946428
33,DC:A6:32:33:E9:E9,2020-07-05 00:53:08.233656,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-57,1.524,36.28596496582031,33.61909103393555,1011.08642578125,1.581195516325416,359.23279622671396,159.59324392003413
34,DC:A6:32:33:E9:E9,2020-07-05 00:53:09.569331,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-68,1.524,36.28596496582031,33.76533508300781,1011.0869140625,1.5918182747537841,359.3672442316574,159.57731591888967
35,DC:A6:32:33:E9:E9,2020-07-05 00:53:10.205608,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-54,1.524,36.34149932861328,35.14613723754883,1011.08447265625,1.595032945975333,359.3613238983901,159.56522648405874
36,DC:A6:32:33:E9:E9,2020-07-05 00:53:11.056857,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-67,1.524,36.34149932861328,34.94207763671875,1011.0830078125,1.589830903148722,359.35691314365096,159.550773803775
37,DC:A6:32:33:E9:E9,2020-07-05 00:53:12.371866,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-54,1.524,36.34149932861328,34.94207763671875,1011.07861328125,1.587496259113047,359.36233188490115,159.43378632367103
38,DC:A6:32:33:E9:E9,2020-07-05 00:53:13.466891,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-66,1.524,36.2674560546875,34.08842849731445,1011.075927734375,1.5837019823073992,359.3946776864588,159.440534550571
39,DC:A6:32:33:E9:E9,2020-07-05 00:53:14.022496,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.28596496582031,33.19056701660156,1011.066650390625,1.5837219392663804,359.3904450502466,159.42848609687508
40,DC:A6:32:33:E9:E9,2020-07-05 00:53:15.121889,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-68,1.524,36.34149932861328,35.13593292236328,1011.06640625,1.5838019805457164,359.38976635355874,159.42210670019028
41,DC:A6:32:33:E9:E9,2020-07-05 00:53:16.218240,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-55,1.524,36.30447769165039,36.397701263427734,1011.058837890625,1.5806880546144253,359.38913813623765,159.53222300998925
42,DC:A6:32:33:E9:E9,2020-07-05 00:53:17.188216,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-57,1.524,36.248939514160156,31.058141708374023,1011.048095703125,1.583771458137863,359.389601948771,159.52408142449858
43,DC:A6:32:33:E9:E9,2020-07-05 00:53:18.348251,65bc0102-be67-11ea-bd05-dca63233e9e8,1,1,1,-65,1.524,36.360015869140625,34.105430603027344,1011.050048828125,1.5862609553686269,359.39239122727327,159.513330706745
