SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-06-28 19:01:14.836029,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-21,0.055,33.43511962890625,33.139549255371094,1003.371337890625,0.6136773958042776,2.9095372161335487,144.16212537730448
1,DC:A6:32:33:E9:E9,2020-06-28 19:01:15.013088,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-19,0.055,33.5091667175293,33.45244216918945,1003.368896484375,0.6118853782816484,2.9119913884796986,144.15610115045655
2,DC:A6:32:33:E9:E9,2020-06-28 19:01:16.530771,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.41660690307617,32.77564239501953,1003.366943359375,0.6184795523993255,2.9126312918275645,144.16474816994577
3,DC:A6:32:33:E9:E9,2020-06-28 19:01:17.330758,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-22,0.055,33.342559814453125,33.438838958740234,1003.36572265625,0.6307296033974491,2.9153955974507153,144.17818998223237
4,DC:A6:32:33:E9:E9,2020-06-28 19:01:18.430770,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.49065399169922,32.43214416503906,1003.36328125,0.6395319029685973,2.917718288655343,144.19967775736123
5,DC:A6:32:33:E9:E9,2020-06-28 19:01:19.250788,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.398094177246094,33.25178146362305,1003.356689453125,0.6534953175921892,2.9220228019363317,144.22179390989373
6,DC:A6:32:33:E9:E9,2020-06-28 19:01:20.219537,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.37958526611328,33.69731140136719,1003.348876953125,0.6528280401267907,2.922930576765709,144.22314628734938
7,DC:A6:32:33:E9:E9,2020-06-28 19:01:21.579536,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.342559814453125,35.680091857910156,1003.343505859375,0.6536995829370549,2.920128491658711,144.2276268914449
8,DC:A6:32:33:E9:E9,2020-06-28 19:01:22.084528,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-31,0.055,33.49065399169922,33.75852966308594,1003.34716796875,0.6566878974206413,2.9281889686529725,144.23231240121555
9,DC:A6:32:33:E9:E9,2020-06-28 19:01:23.152060,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-20,0.055,33.43511962890625,31.33022117614746,1003.34912109375,0.6656451035477312,2.933948739113997,144.2303862878696
10,DC:A6:32:33:E9:E9,2020-06-28 19:01:24.512004,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-21,0.055,33.41660690307617,35.15293884277344,1003.350830078125,0.6711073338930373,2.928318955690614,144.23248998613397
11,DC:A6:32:33:E9:E9,2020-06-28 19:01:25.041997,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-22,0.055,33.3610725402832,34.66999816894531,1003.34765625,0.6774196026248926,2.9274421301559137,144.24074085465134
12,DC:A6:32:33:E9:E9,2020-06-28 19:01:26.174537,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-22,0.055,33.45363235473633,33.09193801879883,1003.348388671875,0.6772276102761918,2.92219462388264,144.2545788179098
13,DC:A6:32:33:E9:E9,2020-06-28 19:01:27.213300,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.49065399169922,34.469337463378906,1003.35400390625,0.6803491668094463,2.9278745665077404,144.26666825274071
14,DC:A6:32:33:E9:E9,2020-06-28 19:01:28.220764,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.5091667175293,32.3641242980957,1003.361083984375,0.683965325088145,2.926184735018397,144.27457761179957
15,DC:A6:32:33:E9:E9,2020-06-28 19:01:29.018251,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-22,0.055,33.398094177246094,34.350303649902344,1003.365478515625,0.6849780073543051,2.9207572959491754,144.28748666933092
16,DC:A6:32:33:E9:E9,2020-06-28 19:01:30.565141,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.398094177246094,33.938785552978516,1003.36572265625,0.6886548369227405,2.918683266319019,144.31264908623322
17,DC:A6:32:33:E9:E9,2020-06-28 19:01:31.092022,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-19,0.055,33.45363235473633,29.779369354248047,1003.36767578125,0.6938861748575885,2.916810086939143,144.33628154076146
18,DC:A6:32:33:E9:E9,2020-06-28 19:01:32.060794,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-28,0.055,33.5091667175293,34.020408630371094,1003.366943359375,0.6968398047867959,2.921751301916824,144.3590943725893
19,DC:A6:32:33:E9:E9,2020-06-28 19:01:33.211387,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-21,0.055,33.398094177246094,35.03050231933594,1003.357177734375,0.6898318172549512,2.9198875140470566,144.37566441151577
20,DC:A6:32:33:E9:E9,2020-06-28 19:01:34.027638,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-21,0.055,33.472145080566406,32.12265396118164,1003.357421875,0.6889914371827752,2.9223243974768702,144.3867293179712
21,DC:A6:32:33:E9:E9,2020-06-28 19:01:35.117639,8297f3a0-b988-11ea-872f-dca63233e9e8,1,1,1,-22,0.055,33.5091667175293,33.687110900878906,1003.361572265625,0.6868357120868428,2.92388808390998,144.39213882779384
