SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-27 03:56:32.297970,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
1,DC:A6:32:33:E9:E9,2020-06-27 03:56:33.393238,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
2,DC:A6:32:33:E9:E9,2020-06-27 03:56:34.241928,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
3,DC:A6:32:33:E9:E9,2020-06-27 03:56:35.593759,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
4,DC:A6:32:33:E9:E9,2020-06-27 03:56:36.660695,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
5,DC:A6:32:33:E9:E9,2020-06-27 03:56:37.220845,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
6,DC:A6:32:33:E9:E9,2020-06-27 03:56:38.308820,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
7,DC:A6:32:33:E9:E9,2020-06-27 03:56:39.650787,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
8,DC:A6:32:33:E9:E9,2020-06-27 03:56:40.003236,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
9,DC:A6:32:33:E9:E9,2020-06-27 03:56:41.038260,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
10,DC:A6:32:33:E9:E9,2020-06-27 03:56:42.394666,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
11,DC:A6:32:33:E9:E9,2020-06-27 03:56:43.188410,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-44,0.97155
12,DC:A6:32:33:E9:E9,2020-06-27 03:56:44.547104,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
13,DC:A6:32:33:E9:E9,2020-06-27 03:56:46.449665,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
14,DC:A6:32:33:E9:E9,2020-06-27 03:56:47.267174,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
15,DC:A6:32:33:E9:E9,2020-06-27 03:56:48.249700,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
16,DC:A6:32:33:E9:E9,2020-06-27 03:56:49.724719,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
17,DC:A6:32:33:E9:E9,2020-06-27 03:56:50.164653,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
18,DC:A6:32:33:E9:E9,2020-06-27 03:56:51.350843,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
19,DC:A6:32:33:E9:E9,2020-06-27 03:56:52.166496,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
20,DC:A6:32:33:E9:E9,2020-06-27 03:56:53.215343,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
21,DC:A6:32:33:E9:E9,2020-06-27 03:56:54.070871,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
22,DC:A6:32:33:E9:E9,2020-06-27 03:56:55.130882,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
23,DC:A6:32:33:E9:E9,2020-06-27 03:56:56.219812,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
24,DC:A6:32:33:E9:E9,2020-06-27 03:56:57.084696,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
25,DC:A6:32:33:E9:E9,2020-06-27 03:56:59.089841,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
26,DC:A6:32:33:E9:E9,2020-06-27 03:57:00.039797,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
27,DC:A6:32:33:E9:E9,2020-06-27 03:57:01.401157,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
28,DC:A6:32:33:E9:E9,2020-06-27 03:57:02.043553,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
29,DC:A6:32:33:E9:E9,2020-06-27 03:57:03.143659,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-40,0.97155
30,DC:A6:32:33:E9:E9,2020-06-27 03:57:04.243578,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
31,DC:A6:32:33:E9:E9,2020-06-27 03:57:05.343542,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
32,DC:A6:32:33:E9:E9,2020-06-27 03:57:06.443515,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
33,DC:A6:32:33:E9:E9,2020-06-27 03:57:07.287431,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
34,DC:A6:32:33:E9:E9,2020-06-27 03:57:08.088615,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
35,DC:A6:32:33:E9:E9,2020-06-27 03:57:09.004171,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
36,DC:A6:32:33:E9:E9,2020-06-27 03:57:10.369948,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
37,DC:A6:32:33:E9:E9,2020-06-27 03:57:11.219923,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
38,DC:A6:32:33:E9:E9,2020-06-27 03:57:12.849986,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
39,DC:A6:32:33:E9:E9,2020-06-27 03:57:13.004193,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
40,DC:A6:32:33:E9:E9,2020-06-27 03:57:14.358062,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
41,DC:A6:32:33:E9:E9,2020-06-27 03:57:15.303628,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
42,DC:A6:32:33:E9:E9,2020-06-27 03:57:16.368624,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
43,DC:A6:32:33:E9:E9,2020-06-27 03:57:18.300032,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
44,DC:A6:32:33:E9:E9,2020-06-27 03:57:19.928750,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
45,DC:A6:32:33:E9:E9,2020-06-27 03:57:20.031127,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
46,DC:A6:32:33:E9:E9,2020-06-27 03:57:21.511185,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
47,DC:A6:32:33:E9:E9,2020-06-27 03:57:22.868802,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
48,DC:A6:32:33:E9:E9,2020-06-27 03:57:23.054933,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-46,0.97155
