SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-26 20:14:36.329313,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
1,DC:A6:32:33:E9:E9,2020-06-26 20:14:37.179263,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
2,DC:A6:32:33:E9:E9,2020-06-26 20:14:39.184196,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
3,DC:A6:32:33:E9:E9,2020-06-26 20:14:40.095559,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
4,DC:A6:32:33:E9:E9,2020-06-26 20:14:41.585569,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
5,DC:A6:32:33:E9:E9,2020-06-26 20:14:42.316728,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
6,DC:A6:32:33:E9:E9,2020-06-26 20:14:43.286677,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-22,0.123825
7,DC:A6:32:33:E9:E9,2020-06-26 20:14:44.108026,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-21,0.123825
8,DC:A6:32:33:E9:E9,2020-06-26 20:14:45.058111,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
9,DC:A6:32:33:E9:E9,2020-06-26 20:14:46.699339,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-34,0.123825
10,DC:A6:32:33:E9:E9,2020-06-26 20:14:48.019182,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
11,DC:A6:32:33:E9:E9,2020-06-26 20:14:49.598151,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
12,DC:A6:32:33:E9:E9,2020-06-26 20:14:50.635517,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
13,DC:A6:32:33:E9:E9,2020-06-26 20:14:51.004203,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-20,0.123825
