SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-25 19:45:55.067904,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
1,DC:A6:32:33:E9:E9,2020-06-25 19:45:56.107271,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
2,DC:A6:32:33:E9:E9,2020-06-25 19:45:57.999007,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
3,DC:A6:32:33:E9:E9,2020-06-25 19:45:59.393411,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
4,DC:A6:32:33:E9:E9,2020-06-25 19:46:00.179636,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
5,DC:A6:32:33:E9:E9,2020-06-25 19:46:01.232163,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
6,DC:A6:32:33:E9:E9,2020-06-25 19:46:02.004586,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
7,DC:A6:32:33:E9:E9,2020-06-25 19:46:03.426754,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
8,DC:A6:32:33:E9:E9,2020-06-25 19:46:04.008323,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
9,DC:A6:32:33:E9:E9,2020-06-25 19:46:06.004536,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
10,DC:A6:32:33:E9:E9,2020-06-25 19:46:07.097592,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
11,DC:A6:32:33:E9:E9,2020-06-25 19:46:08.022039,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
12,DC:A6:32:33:E9:E9,2020-06-25 19:46:09.028509,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
13,DC:A6:32:33:E9:E9,2020-06-25 19:46:10.006969,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
14,DC:A6:32:33:E9:E9,2020-06-25 19:46:11.818216,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
15,DC:A6:32:33:E9:E9,2020-06-25 19:46:12.137532,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
16,DC:A6:32:33:E9:E9,2020-06-25 19:46:13.057590,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
17,DC:A6:32:33:E9:E9,2020-06-25 19:46:14.046746,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
18,DC:A6:32:33:E9:E9,2020-06-25 19:46:16.048159,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
19,DC:A6:32:33:E9:E9,2020-06-25 19:46:17.681793,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
20,DC:A6:32:33:E9:E9,2020-06-25 19:46:18.289366,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
21,DC:A6:32:33:E9:E9,2020-06-25 19:46:20.294386,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
22,DC:A6:32:33:E9:E9,2020-06-25 19:46:21.151905,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-62,1.8288
23,DC:A6:32:33:E9:E9,2020-06-25 19:46:22.066822,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
24,DC:A6:32:33:E9:E9,2020-06-25 19:46:23.707428,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
25,DC:A6:32:33:E9:E9,2020-06-25 19:46:24.180555,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
26,DC:A6:32:33:E9:E9,2020-06-25 19:46:25.131856,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
27,DC:A6:32:33:E9:E9,2020-06-25 19:46:26.085222,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
28,DC:A6:32:33:E9:E9,2020-06-25 19:46:27.092447,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
29,DC:A6:32:33:E9:E9,2020-06-25 19:46:28.074277,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-50,1.8288
30,DC:A6:32:33:E9:E9,2020-06-25 19:46:29.720582,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
31,DC:A6:32:33:E9:E9,2020-06-25 19:46:30.107367,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
32,DC:A6:32:33:E9:E9,2020-06-25 19:46:31.003044,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
33,DC:A6:32:33:E9:E9,2020-06-25 19:46:32.980554,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
34,DC:A6:32:33:E9:E9,2020-06-25 19:46:33.057804,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-51,1.8288
35,DC:A6:32:33:E9:E9,2020-06-25 19:46:34.097998,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
36,DC:A6:32:33:E9:E9,2020-06-25 19:46:35.306800,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
37,DC:A6:32:33:E9:E9,2020-06-25 19:46:36.106776,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
38,DC:A6:32:33:E9:E9,2020-06-25 19:46:37.166788,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
39,DC:A6:32:33:E9:E9,2020-06-25 19:46:38.120085,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
40,DC:A6:32:33:E9:E9,2020-06-25 19:46:40.120636,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
41,DC:A6:32:33:E9:E9,2020-06-25 19:46:41.261744,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-65,1.8288
42,DC:A6:32:33:E9:E9,2020-06-25 19:46:42.506692,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
43,DC:A6:32:33:E9:E9,2020-06-25 19:46:43.836709,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
44,DC:A6:32:33:E9:E9,2020-06-25 19:46:44.241469,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-63,1.8288
45,DC:A6:32:33:E9:E9,2020-06-25 19:46:45.846707,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
46,DC:A6:32:33:E9:E9,2020-06-25 19:46:46.139164,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-51,1.8288
47,DC:A6:32:33:E9:E9,2020-06-25 19:46:47.227880,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
48,DC:A6:32:33:E9:E9,2020-06-25 19:46:48.047260,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-65,1.8288
49,DC:A6:32:33:E9:E9,2020-06-25 19:46:49.127678,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
50,DC:A6:32:33:E9:E9,2020-06-25 19:46:50.586678,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-63,1.8288
51,DC:A6:32:33:E9:E9,2020-06-25 19:46:51.086662,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-64,1.8288
52,DC:A6:32:33:E9:E9,2020-06-25 19:46:52.728505,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
53,DC:A6:32:33:E9:E9,2020-06-25 19:46:53.007887,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-51,1.8288
54,DC:A6:32:33:E9:E9,2020-06-25 19:46:54.082290,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
55,DC:A6:32:33:E9:E9,2020-06-25 19:46:55.930437,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-62,1.8288
56,DC:A6:32:33:E9:E9,2020-06-25 19:46:56.118919,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-51,1.8288
57,DC:A6:32:33:E9:E9,2020-06-25 19:46:57.460372,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
58,DC:A6:32:33:E9:E9,2020-06-25 19:46:58.222313,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
59,DC:A6:32:33:E9:E9,2020-06-25 19:46:59.212916,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
60,DC:A6:32:33:E9:E9,2020-06-25 19:47:00.003505,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
61,DC:A6:32:33:E9:E9,2020-06-25 19:47:01.092561,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
62,DC:A6:32:33:E9:E9,2020-06-25 19:47:02.159215,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-62,1.8288
63,DC:A6:32:33:E9:E9,2020-06-25 19:47:03.921712,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-66,1.8288
64,DC:A6:32:33:E9:E9,2020-06-25 19:47:04.082096,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
65,DC:A6:32:33:E9:E9,2020-06-25 19:47:05.051701,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
66,DC:A6:32:33:E9:E9,2020-06-25 19:47:06.222667,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
67,DC:A6:32:33:E9:E9,2020-06-25 19:47:07.031711,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
68,DC:A6:32:33:E9:E9,2020-06-25 19:47:08.357894,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-60,1.8288
69,DC:A6:32:33:E9:E9,2020-06-25 19:47:09.239146,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-51,1.8288
70,DC:A6:32:33:E9:E9,2020-06-25 19:47:10.061716,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
71,DC:A6:32:33:E9:E9,2020-06-25 19:47:12.070047,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
72,DC:A6:32:33:E9:E9,2020-06-25 19:47:13.165396,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
73,DC:A6:32:33:E9:E9,2020-06-25 19:47:14.047931,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-65,1.8288
74,DC:A6:32:33:E9:E9,2020-06-25 19:47:15.509145,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
75,DC:A6:32:33:E9:E9,2020-06-25 19:47:16.056632,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
76,DC:A6:32:33:E9:E9,2020-06-25 19:47:17.094838,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
77,DC:A6:32:33:E9:E9,2020-06-25 19:47:18.257850,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
78,DC:A6:32:33:E9:E9,2020-06-25 19:47:20.015148,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
79,DC:A6:32:33:E9:E9,2020-06-25 19:47:21.182854,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
80,DC:A6:32:33:E9:E9,2020-06-25 19:47:22.641552,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
81,DC:A6:32:33:E9:E9,2020-06-25 19:47:23.235334,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
82,DC:A6:32:33:E9:E9,2020-06-25 19:47:24.122791,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-52,1.8288
83,DC:A6:32:33:E9:E9,2020-06-25 19:47:25.814651,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
84,DC:A6:32:33:E9:E9,2020-06-25 19:47:26.095076,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-61,1.8288
85,DC:A6:32:33:E9:E9,2020-06-25 19:47:27.067750,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
86,DC:A6:32:33:E9:E9,2020-06-25 19:47:28.020183,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
87,DC:A6:32:33:E9:E9,2020-06-25 19:47:29.157721,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-64,1.8288
88,DC:A6:32:33:E9:E9,2020-06-25 19:47:30.290216,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
89,DC:A6:32:33:E9:E9,2020-06-25 19:47:31.137701,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
90,DC:A6:32:33:E9:E9,2020-06-25 19:47:32.011445,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-65,1.8288
91,DC:A6:32:33:E9:E9,2020-06-25 19:47:33.121473,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
92,DC:A6:32:33:E9:E9,2020-06-25 19:47:34.301442,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-55,1.8288
93,DC:A6:32:33:E9:E9,2020-06-25 19:47:35.311437,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-56,1.8288
94,DC:A6:32:33:E9:E9,2020-06-25 19:47:37.316416,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
95,DC:A6:32:33:E9:E9,2020-06-25 19:47:38.066386,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-63,1.8288
96,DC:A6:32:33:E9:E9,2020-06-25 19:47:39.198944,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
97,DC:A6:32:33:E9:E9,2020-06-25 19:47:40.208890,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
98,DC:A6:32:33:E9:E9,2020-06-25 19:47:41.027623,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
99,DC:A6:32:33:E9:E9,2020-06-25 19:47:43.031387,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
100,DC:A6:32:33:E9:E9,2020-06-25 19:47:44.130113,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
101,DC:A6:32:33:E9:E9,2020-06-25 19:47:45.364566,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
102,DC:A6:32:33:E9:E9,2020-06-25 19:47:46.331318,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
103,DC:A6:32:33:E9:E9,2020-06-25 19:47:47.637566,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
104,DC:A6:32:33:E9:E9,2020-06-25 19:47:48.189856,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
105,DC:A6:32:33:E9:E9,2020-06-25 19:47:49.110048,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
106,DC:A6:32:33:E9:E9,2020-06-25 19:47:50.211287,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-77,1.8288
107,DC:A6:32:33:E9:E9,2020-06-25 19:47:51.014725,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
108,DC:A6:32:33:E9:E9,2020-06-25 19:47:52.108817,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
109,DC:A6:32:33:E9:E9,2020-06-25 19:47:53.138738,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
110,DC:A6:32:33:E9:E9,2020-06-25 19:47:54.106865,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
111,DC:A6:32:33:E9:E9,2020-06-25 19:47:56.115926,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
112,DC:A6:32:33:E9:E9,2020-06-25 19:47:57.163794,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
113,DC:A6:32:33:E9:E9,2020-06-25 19:47:58.081249,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
114,DC:A6:32:33:E9:E9,2020-06-25 19:47:59.178809,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
115,DC:A6:32:33:E9:E9,2020-06-25 19:48:00.086909,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
116,DC:A6:32:33:E9:E9,2020-06-25 19:48:02.011625,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
117,DC:A6:32:33:E9:E9,2020-06-25 19:48:03.571263,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
118,DC:A6:32:33:E9:E9,2020-06-25 19:48:04.128764,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
119,DC:A6:32:33:E9:E9,2020-06-25 19:48:05.217521,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-59,1.8288
120,DC:A6:32:33:E9:E9,2020-06-25 19:48:06.318770,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
121,DC:A6:32:33:E9:E9,2020-06-25 19:48:07.146280,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
122,DC:A6:32:33:E9:E9,2020-06-25 19:48:08.070025,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
123,DC:A6:32:33:E9:E9,2020-06-25 19:48:09.471249,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
124,DC:A6:32:33:E9:E9,2020-06-25 19:48:10.408744,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-53,1.8288
125,DC:A6:32:33:E9:E9,2020-06-25 19:48:11.258751,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
126,DC:A6:32:33:E9:E9,2020-06-25 19:48:12.168728,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-57,1.8288
127,DC:A6:32:33:E9:E9,2020-06-25 19:48:13.048738,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-54,1.8288
128,DC:A6:32:33:E9:E9,2020-06-25 19:48:14.381186,e009306e-b73d-11ea-8f1d-dca63233e9e8,1,1,1,-58,1.8288
