SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-25 16:33:10.393643,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
1,DC:A6:32:33:E9:E9,2020-06-25 16:33:11.037566,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
2,DC:A6:32:33:E9:E9,2020-06-25 16:33:12.136006,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
3,DC:A6:32:33:E9:E9,2020-06-25 16:33:13.138493,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-25,0.19
4,DC:A6:32:33:E9:E9,2020-06-25 16:33:14.426008,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
5,DC:A6:32:33:E9:E9,2020-06-25 16:33:15.215993,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
6,DC:A6:32:33:E9:E9,2020-06-25 16:33:16.102840,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
7,DC:A6:32:33:E9:E9,2020-06-25 16:33:17.007825,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
8,DC:A6:32:33:E9:E9,2020-06-25 16:33:18.296606,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
9,DC:A6:32:33:E9:E9,2020-06-25 16:33:19.587214,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
10,DC:A6:32:33:E9:E9,2020-06-25 16:33:20.865973,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
11,DC:A6:32:33:E9:E9,2020-06-25 16:33:21.013339,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
12,DC:A6:32:33:E9:E9,2020-06-25 16:33:22.167189,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
13,DC:A6:32:33:E9:E9,2020-06-25 16:33:23.158445,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
14,DC:A6:32:33:E9:E9,2020-06-25 16:33:24.264716,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-34,0.19
15,DC:A6:32:33:E9:E9,2020-06-25 16:33:26.037621,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
16,DC:A6:32:33:E9:E9,2020-06-25 16:33:27.027218,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
17,DC:A6:32:33:E9:E9,2020-06-25 16:33:28.133471,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-28,0.19
18,DC:A6:32:33:E9:E9,2020-06-25 16:33:29.284671,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
19,DC:A6:32:33:E9:E9,2020-06-25 16:33:30.178419,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
20,DC:A6:32:33:E9:E9,2020-06-25 16:33:31.197771,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
21,DC:A6:32:33:E9:E9,2020-06-25 16:33:32.008397,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
22,DC:A6:32:33:E9:E9,2020-06-25 16:33:33.075906,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
23,DC:A6:32:33:E9:E9,2020-06-25 16:33:35.080908,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-25,0.19
24,DC:A6:32:33:E9:E9,2020-06-25 16:33:36.353390,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
25,DC:A6:32:33:E9:E9,2020-06-25 16:33:37.174634,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
26,DC:A6:32:33:E9:E9,2020-06-25 16:33:38.594647,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
27,DC:A6:32:33:E9:E9,2020-06-25 16:33:40.163390,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-23,0.19
28,DC:A6:32:33:E9:E9,2020-06-25 16:33:41.253411,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-24,0.19
29,DC:A6:32:33:E9:E9,2020-06-25 16:33:42.073372,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
30,DC:A6:32:33:E9:E9,2020-06-25 16:33:43.703360,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
31,DC:A6:32:33:E9:E9,2020-06-25 16:33:44.089604,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
32,DC:A6:32:33:E9:E9,2020-06-25 16:33:45.226450,13072b94-b723-11ea-b380-dca63233e9e8,1,1,1,-31,0.19
