SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,TEMPERATURE,HUMIDITY,PRESSURE,PITCH,ROLL,YAW
0,DC:A6:32:33:E9:E9,2020-07-01 14:48:15.789184,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-50,0.7493,35.41590118408203,35.924964904785156,1007.532958984375,0.369092937339896,0.1421120374811794,162.83534347374243
1,DC:A6:32:33:E9:E9,2020-07-01 14:48:16.152001,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-54,0.7493,35.526973724365234,35.20395278930664,1007.52978515625,0.370128671494505,0.14178940442438887,162.83950988913614
2,DC:A6:32:33:E9:E9,2020-07-01 14:48:17.008332,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-50,0.7493,35.45292663574219,36.94186019897461,1007.53564453125,0.3666099234527584,0.14251667282864977,162.82206558599592
3,DC:A6:32:33:E9:E9,2020-07-01 14:48:18.218340,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-50,0.7493,35.526973724365234,35.816131591796875,1007.533447265625,0.3731075944679826,0.14619550342906856,162.83444188877198
4,DC:A6:32:33:E9:E9,2020-07-01 14:48:20.033390,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-52,0.7493,35.45292663574219,35.4896354675293,1007.5341796875,0.3787245979670983,0.14821745286680388,162.84076664394343
5,DC:A6:32:33:E9:E9,2020-07-01 14:48:21.734010,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-55,0.7493,35.508460998535156,34.207462310791016,1007.533935546875,0.3717574048072886,0.1453869264252154,162.842679096911
6,DC:A6:32:33:E9:E9,2020-07-01 14:48:22.240772,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-52,0.7493,35.471435546875,34.5849723815918,1007.530029296875,0.3648286848224131,0.14574736564627902,162.84985079553954
7,DC:A6:32:33:E9:E9,2020-07-01 14:48:23.422155,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-52,0.7493,35.43441390991211,36.584754943847656,1007.541748046875,0.3604498665537738,0.14437094912638923,162.84218732329077
8,DC:A6:32:33:E9:E9,2020-07-01 14:48:24.053415,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-52,0.7493,35.41590118408203,35.46923065185547,1007.54345703125,0.361737704057865,0.14609503828328854,162.8030093582116
9,DC:A6:32:33:E9:E9,2020-07-01 14:48:25.147172,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-54,0.7493,35.45292663574219,35.67329025268555,1007.538330078125,0.36481019528688646,0.14801698948270667,162.77231448808155
10,DC:A6:32:33:E9:E9,2020-07-01 14:48:26.132181,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-54,0.7493,35.43441390991211,37.220741271972656,1007.54345703125,0.3680331374406334,0.14535420288218015,162.75211078851666
11,DC:A6:32:33:E9:E9,2020-07-01 14:48:27.232230,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-55,0.7493,35.43441390991211,37.51322937011719,1007.551513671875,0.37654315294007257,0.1405676409963896,162.74491176913145
12,DC:A6:32:33:E9:E9,2020-07-01 14:48:28.692234,b013cda8-bbc3-11ea-921f-dca63233e9e8,1,1,1,-54,0.7493,35.471435546875,35.9589729309082,1007.558349609375,0.37475892610196543,0.13774342447565543,162.726934711236
