SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-27 04:46:40.816576,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
1,DC:A6:32:33:E9:E9,2020-06-27 04:46:41.036243,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-48,0.97155
2,DC:A6:32:33:E9:E9,2020-06-27 04:46:42.460738,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
3,DC:A6:32:33:E9:E9,2020-06-27 04:46:44.329553,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
4,DC:A6:32:33:E9:E9,2020-06-27 04:46:45.446373,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-48,0.97155
5,DC:A6:32:33:E9:E9,2020-06-27 04:46:47.014365,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
6,DC:A6:32:33:E9:E9,2020-06-27 04:46:49.013131,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
7,DC:A6:32:33:E9:E9,2020-06-27 04:46:50.263324,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
8,DC:A6:32:33:E9:E9,2020-06-27 04:46:51.359489,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
9,DC:A6:32:33:E9:E9,2020-06-27 04:46:52.362044,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
10,DC:A6:32:33:E9:E9,2020-06-27 04:46:53.030157,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
11,DC:A6:32:33:E9:E9,2020-06-27 04:46:54.125713,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
12,DC:A6:32:33:E9:E9,2020-06-27 04:46:55.220840,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
13,DC:A6:32:33:E9:E9,2020-06-27 04:46:57.225856,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
14,DC:A6:32:33:E9:E9,2020-06-27 04:46:58.052043,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
15,DC:A6:32:33:E9:E9,2020-06-27 04:46:59.679657,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
16,DC:A6:32:33:E9:E9,2020-06-27 04:47:00.119508,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
17,DC:A6:32:33:E9:E9,2020-06-27 04:47:01.204544,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
18,DC:A6:32:33:E9:E9,2020-06-27 04:47:02.389574,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
19,DC:A6:32:33:E9:E9,2020-06-27 04:47:03.059534,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
20,DC:A6:32:33:E9:E9,2020-06-27 04:47:04.572773,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
21,DC:A6:32:33:E9:E9,2020-06-27 04:47:05.017928,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
22,DC:A6:32:33:E9:E9,2020-06-27 04:47:06.409585,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
23,DC:A6:32:33:E9:E9,2020-06-27 04:47:07.765166,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-43,0.97155
24,DC:A6:32:33:E9:E9,2020-06-27 04:47:08.580788,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-42,0.97155
25,DC:A6:32:33:E9:E9,2020-06-27 04:47:09.128302,67a573ac-b81f-11ea-a477-dca63233e9e8,1,1,1,-45,0.97155
