SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-26 21:44:51.983627,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
1,DC:A6:32:33:E9:E9,2020-06-26 21:44:52.015337,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
2,DC:A6:32:33:E9:E9,2020-06-26 21:44:54.009680,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
3,DC:A6:32:33:E9:E9,2020-06-26 21:44:55.111686,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
4,DC:A6:32:33:E9:E9,2020-06-26 21:44:56.064176,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
5,DC:A6:32:33:E9:E9,2020-06-26 21:44:57.307302,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
6,DC:A6:32:33:E9:E9,2020-06-26 21:44:58.126724,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
7,DC:A6:32:33:E9:E9,2020-06-26 21:44:59.091793,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
8,DC:A6:32:33:E9:E9,2020-06-26 21:45:00.028541,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
9,DC:A6:32:33:E9:E9,2020-06-26 21:45:01.043065,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
10,DC:A6:32:33:E9:E9,2020-06-26 21:45:02.083061,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
11,DC:A6:32:33:E9:E9,2020-06-26 21:45:03.148844,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
12,DC:A6:32:33:E9:E9,2020-06-26 21:45:04.174315,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
13,DC:A6:32:33:E9:E9,2020-06-26 21:45:05.094263,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-20,0.123825
14,DC:A6:32:33:E9:E9,2020-06-26 21:45:06.351690,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
15,DC:A6:32:33:E9:E9,2020-06-26 21:45:07.359274,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
16,DC:A6:32:33:E9:E9,2020-06-26 21:45:09.172452,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
17,DC:A6:32:33:E9:E9,2020-06-26 21:45:10.255464,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
18,DC:A6:32:33:E9:E9,2020-06-26 21:45:11.094190,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
19,DC:A6:32:33:E9:E9,2020-06-26 21:45:12.106703,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
20,DC:A6:32:33:E9:E9,2020-06-26 21:45:13.038030,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-20,0.123825
21,DC:A6:32:33:E9:E9,2020-06-26 21:45:14.125578,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
22,DC:A6:32:33:E9:E9,2020-06-26 21:45:15.098744,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
23,DC:A6:32:33:E9:E9,2020-06-26 21:45:16.145493,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-23,0.123825
24,DC:A6:32:33:E9:E9,2020-06-26 21:45:17.084286,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
25,DC:A6:32:33:E9:E9,2020-06-26 21:45:18.452988,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
26,DC:A6:32:33:E9:E9,2020-06-26 21:45:19.291824,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
27,DC:A6:32:33:E9:E9,2020-06-26 21:45:20.137582,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
28,DC:A6:32:33:E9:E9,2020-06-26 21:45:22.032902,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
29,DC:A6:32:33:E9:E9,2020-06-26 21:45:23.154225,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
30,DC:A6:32:33:E9:E9,2020-06-26 21:45:24.446837,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
31,DC:A6:32:33:E9:E9,2020-06-26 21:45:25.021101,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-22,0.123825
32,DC:A6:32:33:E9:E9,2020-06-26 21:45:26.513041,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
33,DC:A6:32:33:E9:E9,2020-06-26 21:45:27.026810,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
34,DC:A6:32:33:E9:E9,2020-06-26 21:45:28.006733,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
35,DC:A6:32:33:E9:E9,2020-06-26 21:45:29.071855,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-22,0.123825
36,DC:A6:32:33:E9:E9,2020-06-26 21:45:30.103029,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
37,DC:A6:32:33:E9:E9,2020-06-26 21:45:31.136789,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
38,DC:A6:32:33:E9:E9,2020-06-26 21:45:32.175569,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-22,0.123825
39,DC:A6:32:33:E9:E9,2020-06-26 21:45:33.434403,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
40,DC:A6:32:33:E9:E9,2020-06-26 21:45:34.664983,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
41,DC:A6:32:33:E9:E9,2020-06-26 21:45:35.210573,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-31,0.123825
42,DC:A6:32:33:E9:E9,2020-06-26 21:45:36.056736,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
43,DC:A6:32:33:E9:E9,2020-06-26 21:45:37.342499,8a282c0c-b807-11ea-8a4b-dca63233e9e8,1,1,1,-28,0.123825
