SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:E9:E9,2020-06-25 00:05:38.053477,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
1,DC:A6:32:33:E9:E9,2020-06-25 00:05:39.324796,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
2,DC:A6:32:33:E9:E9,2020-06-25 00:05:40.237297,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
3,DC:A6:32:33:E9:E9,2020-06-25 00:05:41.211049,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
4,DC:A6:32:33:E9:E9,2020-06-25 00:05:42.034750,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
5,DC:A6:32:33:E9:E9,2020-06-25 00:05:44.039759,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
6,DC:A6:32:33:E9:E9,2020-06-25 00:05:45.107258,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
7,DC:A6:32:33:E9:E9,2020-06-25 00:05:47.112321,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
8,DC:A6:32:33:E9:E9,2020-06-25 00:05:48.382239,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
9,DC:A6:32:33:E9:E9,2020-06-25 00:05:50.012234,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
10,DC:A6:32:33:E9:E9,2020-06-25 00:05:51.104682,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
11,DC:A6:32:33:E9:E9,2020-06-25 00:05:52.446586,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
12,DC:A6:32:33:E9:E9,2020-06-25 00:05:53.324672,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
13,DC:A6:32:33:E9:E9,2020-06-25 00:05:54.082101,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-31
14,DC:A6:32:33:E9:E9,2020-06-25 00:05:56.087249,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
15,DC:A6:32:33:E9:E9,2020-06-25 00:05:58.095896,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
16,DC:A6:32:33:E9:E9,2020-06-25 00:06:00.047835,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-28
17,DC:A6:32:33:E9:E9,2020-06-25 00:06:02.052230,2126b526-b699-11ea-8a6e-dca63233e9e8,1,1,1,-34
