SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:33:E9:E9,2020-06-25 16:31:28.693538,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
1,DC:A6:32:33:E9:E9,2020-06-25 16:31:29.083255,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
2,DC:A6:32:33:E9:E9,2020-06-25 16:31:30.833285,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-23,0.19
3,DC:A6:32:33:E9:E9,2020-06-25 16:31:31.231919,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
4,DC:A6:32:33:E9:E9,2020-06-25 16:31:33.237114,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
5,DC:A6:32:33:E9:E9,2020-06-25 16:31:34.510922,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
6,DC:A6:32:33:E9:E9,2020-06-25 16:31:35.245876,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
7,DC:A6:32:33:E9:E9,2020-06-25 16:31:36.118981,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
8,DC:A6:32:33:E9:E9,2020-06-25 16:31:37.692038,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
9,DC:A6:32:33:E9:E9,2020-06-25 16:31:38.512256,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
10,DC:A6:32:33:E9:E9,2020-06-25 16:31:39.022243,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
11,DC:A6:32:33:E9:E9,2020-06-25 16:31:40.262249,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
12,DC:A6:32:33:E9:E9,2020-06-25 16:31:41.277267,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
13,DC:A6:32:33:E9:E9,2020-06-25 16:31:42.013524,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
14,DC:A6:32:33:E9:E9,2020-06-25 16:31:43.477910,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
15,DC:A6:32:33:E9:E9,2020-06-25 16:31:44.129819,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
16,DC:A6:32:33:E9:E9,2020-06-25 16:31:45.417375,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-24,0.19
17,DC:A6:32:33:E9:E9,2020-06-25 16:31:46.707394,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
18,DC:A6:32:33:E9:E9,2020-06-25 16:31:47.813614,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
19,DC:A6:32:33:E9:E9,2020-06-25 16:31:48.115925,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
20,DC:A6:32:33:E9:E9,2020-06-25 16:31:49.204884,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
21,DC:A6:32:33:E9:E9,2020-06-25 16:31:51.178695,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
22,DC:A6:32:33:E9:E9,2020-06-25 16:31:52.604312,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
23,DC:A6:32:33:E9:E9,2020-06-25 16:31:53.338715,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
24,DC:A6:32:33:E9:E9,2020-06-25 16:31:54.104979,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-39,0.19
25,DC:A6:32:33:E9:E9,2020-06-25 16:31:55.738758,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
26,DC:A6:32:33:E9:E9,2020-06-25 16:31:56.078126,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
27,DC:A6:32:33:E9:E9,2020-06-25 16:31:57.237545,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
28,DC:A6:32:33:E9:E9,2020-06-25 16:31:58.303804,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
29,DC:A6:32:33:E9:E9,2020-06-25 16:31:59.437612,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
30,DC:A6:32:33:E9:E9,2020-06-25 16:32:00.202602,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
31,DC:A6:32:33:E9:E9,2020-06-25 16:32:01.087601,d4ba825a-b722-11ea-b467-dca63233e9e8,1,1,1,-31,0.19
